sensor,device,key_prefix,tier,x,y,z,zone,placed_on,location,confidence,verified,evidence
XY-MD02 W1 (by CO2 display),gw,xy_md_21,,1.25,2.98,1.35,,photo estimate,inside,high,True,"IMG_2521/2539: on the junction box beside the CO2 display, Y=W wall, ~1.35 m. Dashboard: 'Grower Room 1' = xy_md_21 (order 1-3 along the wall assumed)"
XY-MD02 W2 (under AC 1),gw,xy_md_22,,3.6,2.98,1.3,,photo estimate,inside,high,True,"IMG_2537 (+ close-up IMG_2536, same unit by the single conduit): on the Y=W wall below AC indoor unit 1; point cloud shows a small box at X~3.6, z~1.3"
"XY-MD02 W3 (by conduit, above the nursery-2 tank)",gw,xy_md_23,,5.65,2.98,1.4,,photo estimate,inside,medium,True,"IMG_2538 + site note 2026-09-14: on the same Y=W wall as W2, beside the two vertical conduits, at about the same X as the nursery-2 tank (item 20, X 5.4-5.9); wall coverage in the scan is sparse there"
"XY-MD02 W4 (ANTEROOM, above the door)",gw,xy_md_20,,-0.06,0.85,2.2,,photo estimate,anteroom,high,True,"IMG_2587: XY-MD02 with a small junction box on the anteroom side of the partition wall, above the door to the grow room, ~2.2 m high; channel xy_md_20 (mean 27.3 °C, 3.6 °C diurnal swing) fits an un-conditioned anteroom"
co2,co2,,,0.892,2.881,1.359,,CO2 & environment controller (display + sensor box + junction box),inside,high,True,IMG_2521/2540: sensor box labelled 'CO2 and environment meter sensor'
gw,gw,,,0.892,2.881,1.359,,CO2 & environment controller (display + sensor box + junction box),inside,medium,True,IMG_2539: the RS485 cables of the XY-MD02 units converge in the junction box beside the CO2 display — the gateway most likely sits there
gc1,gc1,,,6.22,1.375,1.3,,"Grow Controller gc1 - rack END = GROWING stage (200 L tank, tiers 2-5)",inside,high,True,IMG_2527/2528; growing-stage loop confirmed 2026-09-14
gc2,gc2,,,5.8,2.06,1.275,,Grow Controller gc2 - rack SIDE = NURSERY-2 dosing set (100 L tank),inside,high,True,IMG_2526; nursery-2 loop confirmed 2026-09-14
waterLevel_1,gw,waterLevel_1,,6.35,1.9,0.62,,photo estimate,inside,medium,True,IMG_2528/2544: small white float/level box on the 200 L growing-stage tank rim
"XY-MD02 W6 (OUTSIDE, on CO2 box)",gw,xy_md_24,,-1.98,2.8,1.25,,photo estimate,outside,high,True,"IMG_2554: XY-MD02 mounted outdoors on the CO2 control box; channel xy_md_24 (mean 30.7 °C, 7 °C day-night swing, peak 13:00) behaves like OUTDOOR air and is the likely match"
