name,category,frame,location,x0,x1,y0,y1,z0,z1,confidence,verified,evidence
AC indoor unit 1,hvac,scan,inside,3.437,4.342,2.753,3.01,1.991,2.293,high,True,IMG_2533/2537: two split-type indoor units on the Y=W wall; scan box 0.9 x 0.3 m
AC indoor unit 2,hvac,scan,inside,1.937,2.842,2.778,3.01,1.987,2.289,high,True,IMG_2533
"Windows (2 panes, face the cafe)",structure,scan,inside,2.592,4.899,0.0,0.282,1.089,2.196,high,True,IMG_2530/2549: the two 'dark panels' on the Y=0 wall are glass windows into SISKU Coffee; heavy condensation = heat gain / thermal bridge
"Door (aluminium, glass top)",structure,scan,inside,0.0,0.108,0.072,0.675,0.0,1.982,high,True,"IMG_2531: single leaf, Y=0 side of the X=0 wall"
"Exhaust fan (Hatari 200 mm, 23 W)",hvac,scan,inside,0.032,0.136,2.423,2.674,1.881,2.132,high,True,"IMG_2532/2545: on the X=0 wall, Y=W side, near the ceiling"
"Seed germination shelf (3 tiers, T5 tubes, own fan box)",furniture,scan,inside,5.597,6.912,0.059,0.881,0.0,0.851,high,True,"IMG_2529/2530/2551: PVC shelf with tube lights in the far corner, Y=0 side = 'ชั้นเพาะเมล็ด' (seed germination shelf) of the design drawing p.7; the fan box labelled 'อนุบาลพืช' belongs to it"
CO2 & environment controller (display + sensor box + junction box),electrical,scan,inside,0.438,1.345,2.752,3.01,0.983,1.735,high,True,"IMG_2521/2539/2540: 10"" touch display, 'CO2 and environment meter sensor' box (3-OT-N000526) and a junction box where the RS485 cables converge, Y=W wall next to the door"
TP-Link WiFi router (4 antennas),electrical,room,inside,1.85,2.05,0.0,0.08,1.3,1.7,medium,True,IMG_2549/2550: TP-Link router on the Y=0 wall ~1.5 m high before the windows — WiFi uplink of the grow controllers (rssiWiFi); the DOAIoTGateway box itself was not identified
"Grow Controller gc1 - rack END = GROWING stage (200 L tank, tiers 2-5)",electrical,room,inside,6.18,6.26,1.2,1.55,1.15,1.45,high,True,"IMG_2527/2528: mounted on the far-end face of the rack, cables to the probe box on the 200 L tank; screen EC 1.75 / pH 5.7 / day 16 = ThingsBoard gc1; design p.7 'Grow Controller'. Loop CONFIRMED on site 2026-09-14 (the dashboard block title 'tier 1' is misleading)"
Grow Controller gc2 - rack SIDE = NURSERY-2 dosing set (100 L tank),electrical,room,inside,5.65,5.95,2.02,2.1,1.1,1.45,high,True,"IMG_2526: on the Y=W aisle face near the far end, cables to the junction box and dosing box by the nursery-2 tank; design p.7 'nursery-2 dosing control set'. Confirmed 2026-09-14; nursery 1 has no controller"
